        X             RHO          U          P            E    
   0.2500E-03   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7500E-03   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1250E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1750E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2250E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2750E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3250E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3750E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4250E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.4750E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5250E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.5750E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6250E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.6750E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7250E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.7750E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8250E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8750E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9250E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9750E-02   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1025E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1075E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1125E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1175E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1225E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1275E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1325E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1375E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1425E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1475E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1525E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1575E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1625E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1675E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1725E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1775E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1825E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1875E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1925E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1975E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2025E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2075E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2125E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2175E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2225E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2275E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2325E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2375E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2425E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2475E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2525E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2575E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2625E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2675E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2725E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2775E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2825E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2875E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2925E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.2975E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3025E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3075E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3125E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3175E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3225E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.3275E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
